searge,name,side,desc
func_110210_cH,moveTail,2,
func_110239_cn,hasLayeredTextures,0,
func_110253_bW,isRidable,2,
func_110266_cB,eatingHorse,2,
func_110667_a,getNumberOfTeams,2,
func_110668_a,spreadPositions,2,
func_110669_a,spread,2,
func_110670_a,createInitialPositions,2,
func_110671_a,setPlayerPositions,2,
func_110848_b,getLayerTexture,0,
func_111092_a,getSpawnY,2,
func_111093_a,clamp,2,
func_111094_b,moveAway,2,
func_111095_a,normalize,2,
func_111096_b,getLength,2,
func_111097_a,randomize,2,
func_111098_b,isSafe,2,
func_111099_a,dist,2,
func_111104_a,setRandomEffect,2,
func_111122_c,getModifiers,2,
func_111144_e,resetObjectChanged,2,
func_142017_o,onLeashDistance,2,
func_145751_f,getCommandBlockType,0,
func_145757_a,fillInInfo,0,
func_146140_b,setSelected,0,
func_146141_c,isSelected,0,
func_146197_a,getNthWordFromPosWS,0,
func_146375_g,onLayersChanged,0,
func_146382_i,hasSelectedLayer,0,
func_146383_a,setPreset,0,
func_146384_e,getPreset,0,
func_146421_a,registerPreset,0,
func_146425_a,registerPreset,0,
func_146426_g,updateButtonValidity,0,
func_146430_p,hasValidSelection,0,
func_146595_g,updateDisplayNames,0,
func_146614_d,getWorldDisplayName,0,
func_146615_e,launchWorld,0,
func_146621_a,getWorldFileName,0,
func_147049_a,isMouseOverTab,0,
func_147051_a,drawTab,0,
func_147068_g,tickBook,0,
func_147184_a,getObjectives,2,
func_147202_a,dumpProfile,0,
func_147209_d,getAllPlayerNames,2,
func_147210_a,banIP,2,
func_147413_a,set,0,
func_147414_b,saveSingleServer,0,
func_147423_a,generateTerrain,2,
func_147525_a,getBuffer,0,
func_148092_b,setSafe,0,
func_148107_b,stringToBlendFactor,0,
func_148108_a,stringToBlendFunction,0,
func_148109_a,apply,0,
func_148110_a,parseBlendNode,0,
func_148111_b,isOpaque,0,
func_148132_a,clickedHeader,0,
func_148135_f,getMaxScroll,0,
func_148142_b,renderDecorations,0,
func_148171_c,blitSlotIcon,0,
func_148173_e,blitSlotBg,0,
func_148182_a,createButton,0,
func_148193_k,getSelected,0,
func_148194_a,updateNetworkServers,0,
func_148195_a,updateOnlineServers,0,
func_148209_a,renderStat,0,
func_148210_b,getHeaderDescriptionId,0,
func_148211_c,getSlotStat,0,
func_148212_h,sortByColumn,0,
func_148213_a,renderMouseHoverToolTip,0,
func_148224_c,drawItemBackground,0,
func_148225_a,drawItem,0,
func_148226_e,drawItemBackground,0,
func_148307_h,canMoveDown,0,
func_148308_f,canMoveLeft,0,
